"k","mix_ari","mix_ari_sd","mix_bic","mix_loglik","mix_kept","mix_collapse","mix_fail","mix_min_size","mix_min_share","mix_rho_med","mix_rho_max","mix_rho_gt50","skm_ari","skm_ari_sd","skm_min_size","skm_min_share","skm_objective","cross_ari"
2,0.964255396138191,0.0172643021299687,-36988.4754477633,19043.596684728,4,0,0,2428,0.4856,0.192471776327766,0.201482624145237,0,0.972999323600054,0.0131429095687462,2345,0.469,3224.86121550192,0.931597202515033
3,0.818471994945852,0.106083945992336,-54633.4149261306,28142.8752026327,4,0,0,1386,0.2772,0.244471310686944,0.249433276473529,0,0.949768173841702,0.0162274265818452,1473,0.2946,2864.09195440216,0.885466952986789
4,0.76351383751021,0.187143897220547,-68416.7618847012,35311.357460639,4,0,0,763,0.1526,0.261620339663332,0.341419460601786,0,0.899736779805164,0.0393211165497964,1045,0.209,2638.33048444386,0.571616163585946
5,0.557751321765842,0.158597631161881,-90771.2261423524,46765.3983681856,4,0,0,65,0.013,0.262742349469259,0.969085312446386,1,0.542505591269018,0.185959122678123,760,0.152,2480.45339107746,0.615650356374078
6,0.476483357452875,0.12134642170849,-102818.99505479,53066.0916031253,4,0,0,68,0.0136,0.297248394813176,0.967111202182682,1,0.505443711399821,0.152268331400561,637,0.1274,2348.29141514417,0.530444341388649
7,0.46610453812688,0.114355725213654,-113428.505247886,58647.6554783943,4,0,0,65,0.013,0.330655617759578,0.969062549288805,1,0.515398729835945,0.108621100008007,557,0.1114,2239.3583796452,0.572931232295701
8,0.493847680891842,0.103879606724292,-123321.877083417,63871.1501748808,4,0,0,66,0.0132,0.344208540071291,0.968523306341637,1,0.48841033095156,0.0923418206236598,454,0.0908,2132.3631873093,0.444361596929481
9,0.484323392837884,0.103258175465063,-131387.002227754,68180.5215257705,4,0,0,66,0.0132,0.368281882255894,0.968396535583985,1,0.495362432716399,0.110568037363388,392,0.0784,2053.95953710303,0.405577289065352
10,0.492107419740726,0.0947083560472422,-139933.624588247,72730.641484738,4,0,0,66,0.0132,0.369295603400066,0.968284590162278,1,0.543688054088103,0.101479095626334,385,0.077,1974.52272727547,0.429230219514993
11,0.50356615603251,0.0984356311924656,-147785.493550873,76933.3847447719,4,0,0,68,0.0136,0.393831819416218,0.967072153021354,1,0.569530994929539,0.103287824939791,380,0.076,1906.35303763412,0.519336869603797
12,0.533856446237076,0.0811440576995427,-155324.067142504,80979.4803193086,4,0,0,68,0.0136,0.387838467032951,0.967055769680961,1,0.618220230466737,0.0832769446183837,311,0.0622,1839.99562584955,0.450862245884496
13,0.483098977300865,0.0631459770987176,-162018.605641938,84603.5583477467,4,0,0,68,0.0136,0.392654170252257,0.967069080902959,2,0.597244858767716,0.0814029683689688,272,0.0544,1783.71214727303,0.527336771838084
14,0.505530991752193,0.112677667386784,-169248.464443801,88495.2965273992,4,0,0,65,0.013,0.40381993394688,0.969115913162066,1,0.567333575890583,0.071146762609394,270,0.054,1747.26460648584,0.496714842040842
15,0.520392604603101,0.0645775919077105,-176665.4991125,92480.6226404698,4,0,0,58,0.0116,0.397691320040817,0.973273013726891,4,0.523312333997776,0.0669532813196879,200,0.04,1699.40586978298,0.461730950896919
16,0.493755995680109,0.0876428830400605,-180359.979216842,94604.6714713619,4,0,0,65,0.013,0.410696956002169,0.969116116842104,2,0.540854537419934,0.0622712755554446,226,0.0452,1654.1209374374,0.418784031173596
17,0.483862568792108,0.0778784620888301,-187202.355951734,98302.6686175285,4,0,0,58,0.0116,0.429663512774672,0.973298048256194,4,0.539577617859967,0.0706497011324719,202,0.0404,1630.50183898903,0.556119110865945
18,0.480143920713962,0.0644544812145904,-192937.98818871,101447.293514738,4,0,0,58,0.0116,0.428260074300665,0.973329240887829,6,0.529002809029495,0.0640752814762264,195,0.039,1584.41771802704,0.528768542273344
19,0.492962401250644,0.0660479504789887,-196521.509382584,103515.862890396,3,1,0,62,0.0124,0.456501038193951,0.971016580621106,3,0.531750197186502,0.0626292350907359,181,0.0362,1549.58320840688,0.453329080521171
20,0.476532597286816,0.0478059957997945,-202518.406799545,106791.120377598,4,0,0,58,0.0116,0.450716010861803,0.973270627265604,6,0.53366080381572,0.0577055677473933,179,0.0358,1518.65377742072,0.410344106986839
