"attribute","kind","strength","coverage","family"
"med_cap","continuous",0.579,1,"size"
"mgr_entity_proper_name","categorical",0.572,0.96,"artifact"
"pct_us","continuous",0.494,1,"geography"
"fs_ultimate_parent_entity_id","categorical",0.474,1,"artifact"
"country_desc","categorical",0.404,1,"geography"
"invt_obj_region_code","categorical",0.313,0.761,"geography"
"style_any","categorical",0.266,0.929,"strategy"
"pct_top_sec","continuous",0.229,1,"sector"
"invt_obj_specialization_code","categorical",0.212,0.84,"sector"
"invt_obj_asset_type_code","categorical",0.203,0.839,"vehicle"
"investor_type","categorical",0.186,1,"vehicle"
"pb_ratio","continuous",0.183,0.954,"strategy"
"turnover_any","categorical",0.148,0.99,"strategy"
"fund_type_desc","categorical",0.141,0.971,"vehicle"
"relative_strength","continuous",0.132,0.954,"strategy"
"n_assets_full","continuous",0.127,1,"strategy"
"pe_ratio","continuous",0.089,0.954,"strategy"
"sales_growth","continuous",0.048,0.954,"strategy"
"aum_any","continuous",0.017,0.488,"size"
"dividend_yield","continuous",0.001,0.954,"strategy"
"beta","continuous",0,0.954,"strategy"
"price_momentum","continuous",0,0.954,"strategy"
