"attribute","kind","statistic","strength","n_levels","coverage","family"
"n_assets_full","continuous","rank epsilon-squared",0.613,NA,1,"breadth"
"mgr_entity_proper_name","categorical","Cramer's V (bias-corrected)",0.368,2823,0.957,"artifact"
"modal_issuer_country","categorical","Cramer's V (bias-corrected)",0.314,46,1,"geography"
"med_cap","continuous","rank epsilon-squared",0.276,NA,0.995,"size"
"fs_ultimate_parent_entity_id","categorical","Cramer's V (bias-corrected)",0.272,4161,0.813,"artifact"
"inv_country_desc","categorical","Cramer's V (bias-corrected)",0.27,58,0.812,"geography"
"invt_obj_region_code","categorical","Cramer's V (bias-corrected)",0.182,13,0.818,"geography"
"style_any","categorical","Cramer's V (bias-corrected)",0.18,7,0.99,"strategy"
"invt_obj_specialization_code","categorical","Cramer's V (bias-corrected)",0.172,51,0.877,"sector"
"beta","continuous","rank epsilon-squared",0.159,NA,0.933,"strategy"
"pb_ratio","continuous","rank epsilon-squared",0.145,NA,0.931,"strategy"
"fund_type_desc","categorical","Cramer's V (bias-corrected)",0.139,4,0.977,"vehicle"
"pct_us","continuous","rank epsilon-squared",0.139,NA,1,"geography"
"investor_type","categorical","Cramer's V (bias-corrected)",0.131,5,1,"vehicle"
"invt_obj_asset_type_code","categorical","Cramer's V (bias-corrected)",0.129,6,0.876,"vehicle"
"relative_strength","continuous","rank epsilon-squared",0.127,NA,0.925,"strategy"
"turnover_any","categorical","Cramer's V (bias-corrected)",0.123,5,0.999,"strategy"
"price_momentum","continuous","rank epsilon-squared",0.121,NA,0.934,"strategy"
"sales_growth","continuous","rank epsilon-squared",0.11,NA,0.934,"strategy"
"aum_any","continuous","rank epsilon-squared",0.087,NA,0.456,"size"
"pct_top_sec","continuous","rank epsilon-squared",0.045,NA,1,"sector"
"dividend_yield","continuous","rank epsilon-squared",0.039,NA,0.934,"strategy"
"pe_ratio","continuous","rank epsilon-squared",0.018,NA,0.932,"strategy"
