"attribute","kind","statistic","strength","n_levels","coverage","family"
"med_cap","continuous","rank epsilon-squared",0.686,NA,0.967,"size"
"n_assets_full","continuous","rank epsilon-squared",0.563,NA,1,"breadth"
"invt_obj_specialization_code","categorical","Cramer's V (bias-corrected)",0.41,31,0.866,"sector"
"mgr_entity_proper_name","categorical","Cramer's V (bias-corrected)",0.383,845,0.91,"artifact"
"price_momentum","continuous","rank epsilon-squared",0.335,NA,0.883,"strategy"
"relative_strength","continuous","rank epsilon-squared",0.297,NA,0.869,"strategy"
"pct_top_sec","continuous","rank epsilon-squared",0.279,NA,1,"sector"
"pb_ratio","continuous","rank epsilon-squared",0.278,NA,0.883,"strategy"
"fs_ultimate_parent_entity_id","categorical","Cramer's V (bias-corrected)",0.276,865,0.804,"artifact"
"style_any","categorical","Cramer's V (bias-corrected)",0.265,7,0.991,"strategy"
"sales_growth","continuous","rank epsilon-squared",0.264,NA,0.883,"strategy"
"invt_obj_asset_type_code","categorical","Cramer's V (bias-corrected)",0.26,5,0.866,"vehicle"
"beta","continuous","rank epsilon-squared",0.254,NA,0.883,"strategy"
"dividend_yield","continuous","rank epsilon-squared",0.206,NA,0.883,"strategy"
"aum_any","continuous","rank epsilon-squared",0.179,NA,0.711,"size"
"investor_type","categorical","Cramer's V (bias-corrected)",0.164,5,1,"vehicle"
"pct_us","continuous","rank epsilon-squared",0.163,NA,1,"geography"
"fund_type_desc","categorical","Cramer's V (bias-corrected)",0.15,4,0.94,"vehicle"
"invt_obj_region_code","categorical","Cramer's V (bias-corrected)",0.129,11,0.746,"geography"
"inv_country_desc","categorical","Cramer's V (bias-corrected)",0.127,38,0.803,"geography"
"turnover_any","categorical","Cramer's V (bias-corrected)",0.115,5,0.998,"strategy"
"pe_ratio","continuous","rank epsilon-squared",0.045,NA,0.883,"strategy"
"modal_issuer_country","categorical","Cramer's V (bias-corrected)",NA,1,1,"geography"
