"attribute","kind","statistic","strength","n_levels","coverage","family"
"med_cap","continuous","rank epsilon-squared",0.743,NA,0.967,"size"
"n_assets_full","continuous","rank epsilon-squared",0.608,NA,1,"breadth"
"invt_obj_specialization_code","categorical","Cramer's V (bias-corrected)",0.422,31,0.866,"sector"
"mgr_entity_proper_name","categorical","Cramer's V (bias-corrected)",0.376,845,0.91,"artifact"
"sales_growth","continuous","rank epsilon-squared",0.364,NA,0.883,"strategy"
"price_momentum","continuous","rank epsilon-squared",0.34,NA,0.883,"strategy"
"pct_top_sec","continuous","rank epsilon-squared",0.337,NA,1,"sector"
"pb_ratio","continuous","rank epsilon-squared",0.309,NA,0.883,"strategy"
"beta","continuous","rank epsilon-squared",0.304,NA,0.883,"strategy"
"relative_strength","continuous","rank epsilon-squared",0.287,NA,0.869,"strategy"
"style_any","categorical","Cramer's V (bias-corrected)",0.279,7,0.991,"strategy"
"invt_obj_asset_type_code","categorical","Cramer's V (bias-corrected)",0.261,5,0.866,"vehicle"
"dividend_yield","continuous","rank epsilon-squared",0.242,NA,0.883,"strategy"
"fs_ultimate_parent_entity_id","categorical","Cramer's V (bias-corrected)",0.237,865,0.804,"artifact"
"aum_any","continuous","rank epsilon-squared",0.218,NA,0.711,"size"
"investor_type","categorical","Cramer's V (bias-corrected)",0.186,5,1,"vehicle"
"fund_type_desc","categorical","Cramer's V (bias-corrected)",0.16,4,0.94,"vehicle"
"pct_us","continuous","rank epsilon-squared",0.144,NA,1,"geography"
"turnover_any","categorical","Cramer's V (bias-corrected)",0.13,5,0.998,"strategy"
"invt_obj_region_code","categorical","Cramer's V (bias-corrected)",0.129,11,0.746,"geography"
"inv_country_desc","categorical","Cramer's V (bias-corrected)",0.125,38,0.803,"geography"
"pe_ratio","continuous","rank epsilon-squared",0.07,NA,0.883,"strategy"
"modal_issuer_country","categorical","Cramer's V (bias-corrected)",NA,1,1,"geography"
