"attribute","kind","statistic","strength","n_levels","coverage","family"
"n_assets_full","continuous","rank epsilon-squared",0.46,NA,1,"breadth"
"mgr_entity_proper_name","categorical","Cramer's V (bias-corrected)",0.359,2823,0.957,"artifact"
"modal_issuer_country","categorical","Cramer's V (bias-corrected)",0.31,46,1,"geography"
"inv_country_desc","categorical","Cramer's V (bias-corrected)",0.262,58,0.812,"geography"
"fs_ultimate_parent_entity_id","categorical","Cramer's V (bias-corrected)",0.226,4161,0.813,"artifact"
"style_any","categorical","Cramer's V (bias-corrected)",0.215,7,0.99,"strategy"
"invt_obj_specialization_code","categorical","Cramer's V (bias-corrected)",0.162,51,0.877,"sector"
"invt_obj_region_code","categorical","Cramer's V (bias-corrected)",0.144,13,0.818,"geography"
"beta","continuous","rank epsilon-squared",0.102,NA,0.933,"strategy"
"turnover_any","categorical","Cramer's V (bias-corrected)",0.084,5,0.999,"strategy"
"investor_type","categorical","Cramer's V (bias-corrected)",0.081,5,1,"vehicle"
"fund_type_desc","categorical","Cramer's V (bias-corrected)",0.076,4,0.977,"vehicle"
"invt_obj_asset_type_code","categorical","Cramer's V (bias-corrected)",0.073,6,0.876,"vehicle"
"med_cap","continuous","rank epsilon-squared",0.073,NA,0.995,"size"
"aum_any","continuous","rank epsilon-squared",0.072,NA,0.456,"size"
"sales_growth","continuous","rank epsilon-squared",0.071,NA,0.934,"strategy"
"pb_ratio","continuous","rank epsilon-squared",0.057,NA,0.931,"strategy"
"price_momentum","continuous","rank epsilon-squared",0.048,NA,0.934,"strategy"
"relative_strength","continuous","rank epsilon-squared",0.048,NA,0.925,"strategy"
"pct_us","continuous","rank epsilon-squared",0.041,NA,1,"geography"
"dividend_yield","continuous","rank epsilon-squared",0.028,NA,0.934,"strategy"
"pe_ratio","continuous","rank epsilon-squared",0.007,NA,0.932,"strategy"
"pct_top_sec","continuous","rank epsilon-squared",0.002,NA,1,"sector"
