"cluster","name","p_cl","lift"
1,"Booking Holdings, Inc.",0.14,2.5
1,"Alphabet, Inc.",0.48,2.2
1,"Microsoft Corp.",0.45,1.9
1,"NVIDIA Corp.",0.12,1.9
1,"Adobe, Inc.",0.17,1.8
1,"Amazon.com, Inc.",0.32,1.8
1,"Meta Platforms, Inc.",0.27,1.8
1,"Visa, Inc.",0.28,1.8
2,"General Dynamics Corp.",0.1,6.5
2,"The PNC Financial Services Group, Inc.",0.19,6.3
2,"Northrop Grumman Corp.",0.13,6.2
2,"The Travelers Cos., Inc.",0.12,6.1
2,"American International Group, Inc.",0.16,5.8
2,"CSX Corp.",0.11,5.8
2,"U.S. Bancorp",0.2,5.8
2,"Chubb Ltd.",0.2,5.8
3,"Royal Bank of Canada",0.14,4.3
3,"Toyota Motor Corp.",0.17,3.9
3,"Colgate-Palmolive Co.",0.13,3.6
3,"Procter & Gamble Co.",0.41,3.6
3,"Nippon Telegraph & Telephone Corp.",0.11,3.6
3,"Merck & Co., Inc.",0.42,3.4
3,"Roche Holding AG",0.6,3.4
3,"The Toronto-Dominion Bank",0.1,3.4
4,"Regency Centers Corp.",0.14,13.1
4,"American Homes 4 Rent",0.13,12.7
4,"Pembina Pipeline Corp.",0.18,12.6
4,"UDR, Inc.",0.11,12.3
4,"Loblaw Cos. Ltd.",0.1,12.2
4,"Vornado Realty Trust",0.1,12.1
4,"Boston Properties, Inc.",0.15,11.7
4,"VEREIT, Inc.",0.12,11.7
5,"Multi Units France - Lyxor Japan TOPIX DR UCITS ETF",0.13,9.2
5,"Candriam Bonds - Crédit Opportunities",0.12,9.1
5,"Robeco Capital Gr. Fds. - QI Emerging Conservative Equities",0.13,9
5,"iShares V Plc - S&P 500 EUR Hedged UCITS ETF",0.12,9
5,"Janus Henderson Fund - United Kingdom Absolute Return Fund",0.11,8.9
5,"M&G (Lux) Investment Funds 1 - Optimal Income Fund",0.15,8.9
5,"Robeco Capital Gr. Fds. - US BP Premium Equities",0.13,8.8
5,"BlackRock Global Funds - Euro Short Duration Bond Fund",0.15,8.7
6,"Pernod Ricard SA",0.28,7.8
6,"EssilorLuxottica SA",0.34,7.8
6,"Kering SA",0.34,7.6
6,"Société Générale SA",0.19,7.2
6,"Akzo Nobel NV",0.12,7.1
6,"L'Air Liquide SA",0.46,7.1
6,"Safran SA",0.34,7.1
6,"Mercedes-Benz Group AG",0.35,7
7,"Qatar National Bank QPSC",0.11,18.8
7,"Shinhan Financial Group Co., Ltd.",0.3,18.4
7,"CP All Public Co. Ltd.",0.23,17.2
7,"PTT Public Co., Ltd.",0.19,17.1
7,"PT Telkom Indonesia (Persero) Tbk",0.34,16.9
7,"SK hynix, Inc.",0.46,16.9
7,"Hon Hai Precision Industry Co., Ltd.",0.23,16.7
7,"Public Bank Bhd.",0.17,16.6
8,"Legal & General Group Plc",0.13,6.3
8,"BT Group Plc",0.11,6
8,"Sonova Holding AG",0.11,6
8,"Aviva Plc",0.1,5.9
8,"Tesco Plc",0.11,5.5
8,"Barclays PLC",0.1,5.4
8,"Partners Group Holding AG",0.12,5.1
8,"Smith & Nephew plc",0.1,4.6
9,"Siemens Ltd.",0.15,25.7
9,"JSW Steel Ltd.",0.14,25.7
9,"Coromandel International Ltd.",0.14,25.6
9,"Nippon India ETF Bank BeES",0.1,25.3
9,"L&T Finance Holdings Ltd.",0.13,25.3
9,"Whirlpool of India Ltd.",0.12,25.2
9,"Aditya Birla Fashion & Retail Ltd.",0.15,25.1
9,"Ashok Leyland Ltd.",0.14,25
10,"Prosus NV",0.1,2.8
10,"Naspers Ltd.",0.12,2.6
10,"Ping An Insurance (Group) Co. of China Ltd.",0.11,1.9
10,"Alibaba Group Holding Ltd.",0.19,1.7
10,"Tencent Holdings Ltd.",0.14,1.5
10,"Taiwan Semiconductor Manufacturing Co., Ltd.",0.14,1.4
10,"Meta Platforms, Inc.",0.13,0.9
10,"Amazon.com, Inc.",0.15,0.8
12,"Costco Wholesale Corp.",0.97,16.3
12,"Netflix, Inc.",0.93,15.8
12,"Broadcom Inc.",0.92,15.8
12,"Raytheon Technologies Corp.",0.92,15.4
12,"NVIDIA Corp.",0.92,14.5
12,"Philip Morris International, Inc.",0.88,14.5
12,"NextEra Energy, Inc.",0.95,14.4
12,"Union Pacific Corp.",0.98,14.4
