"cluster","name","p_cl","lift"
1,"Eaton Corp. Plc",0.31,3.6
1,"Deere & Co.",0.27,3.5
1,"BLACKROCK INC  COM",0.27,3.4
1,"Danaher Corp.",0.32,3.3
1,"Union Pacific Corp.",0.32,3.3
1,"Analog Devices, Inc.",0.36,3.2
1,"Capital One Financial Corp.",0.36,3.2
1,"Stryker Corp.",0.23,3.2
2,"Fidelity Series Emerging Markets Debt Fund",0.88,32.2
2,"Fidelity Series Floating Rate High Income Fund",0.88,32.2
2,"Fidelity Series High Income Fund",0.88,32.2
2,"Fidelity Series Real Estate Income Fund",0.88,32.2
2,"Fidelity Series Short Term Credit Fund",0.37,32.2
2,"Fidelity Series International Credit Fund",0.31,32.2
2,"Fidelity Series Emerging Markets Debt Local Currecy Fund",0.88,32.2
2,"Fidelity Series Intl. Dev Markets Bond Index Fd.",0.98,32.2
3,"GE VERNOVA INC  COM",0.94,5.4
3,"Raytheon Technologies Corp.",0.91,5.1
3,"Abbott Laboratories",0.99,5
3,"Intuitive Surgical, Inc.",0.98,5
3,"Thermo Fisher Scientific, Inc.",0.99,5
3,"Linde Plc",0.97,5
3,"Philip Morris International, Inc.",0.89,4.9
3,"Amgen, Inc.",0.96,4.8
4,"Ligand Pharmaceuticals, Inc.",0.12,7.3
4,"Ameris Bancorp",0.16,7
4,"ADMA Biologics, Inc.",0.11,7
4,"EnPro Industries, Inc.",0.11,6.8
4,"CSW Industrials, Inc.",0.13,6.8
4,"Arcosa, Inc.",0.13,6.8
4,"Merit Medical Systems, Inc.",0.15,6.7
4,"Atmus Filtration Technologies, Inc.",0.12,6.7
5,"Extra Space Storage, Inc.",0.11,3.8
5,"Essex Property Trust, Inc.",0.11,3.6
5,"Invitation Homes, Inc.",0.1,3.3
5,"Realty Income Corp.",0.12,3
5,"Public Storage",0.12,3
5,"Digital Realty Trust, Inc.",0.14,2.9
5,"Ventas, Inc.",0.11,2.4
5,"Simon Property Group, Inc.",0.13,2.3
6,"Tempur Sealy International, Inc.",0.25,6.7
6,"RB Global, Inc.",0.13,6.6
6,"Guidewire Software, Inc.",0.27,6.3
6,"Hecla Mining Co.",0.21,6.2
6,"XPO, Inc.",0.22,6.1
6,"Pure Storage, Inc.",0.24,6.1
6,"APi Group Corp.",0.2,6.1
6,"Royal Gold, Inc.",0.2,6
7,"American International Group, Inc.",0.19,3.9
7,"The Hartford Financial Services Group, Inc.",0.22,3.7
7,"Consolidated Edison, Inc.",0.11,3.7
7,"Arch Capital Group Ltd.",0.11,3.5
7,"Edison International",0.1,3.5
7,"State Street Corp.",0.16,3.4
7,"The Allstate Corp.",0.19,3.4
7,"Synchrony Financial",0.2,3.4
8,"Copart, Inc.",0.12,3.4
8,"Workday, Inc.",0.14,3.4
8,"DexCom, Inc.",0.1,3.1
8,"Chipotle Mexican Grill, Inc.",0.13,3
8,"Shopify, Inc.",0.11,3
8,"Taiwan Semiconductor Manufacturing Co., Ltd.",0.12,2.4
8,"Zoetis, Inc.",0.12,2.4
8,"Snowflake, Inc.",0.13,2.4
