"cluster","name","p_cl","lift"
1,"Sinomine Resource Group Co., Ltd.",0.11,5.6
1,"Giant Network Group Co. Ltd.",0.1,5.2
1,"EVE Energy Co., Ltd.",0.1,4.6
1,"Jiangsu Hengli Hydraulic Co., Ltd.",0.1,4.6
1,"Zhejiang Huayou Cobalt Co., Ltd.",0.13,4.4
1,"Shengyi Technology Co., Ltd.",0.14,4.2
1,"XCMG Construction Machinery Co., Ltd.",0.11,4.2
1,"Suzhou Dongshan Precision Manufacturing Co., Ltd.",0.11,4.1
2,"JPMorgan Chase & Co.",0.68,5.3
2,"Bank of America Corp.",0.48,5.1
2,"Walmart, Inc.",0.44,5.1
2,"Morgan Stanley",0.36,5.1
2,"AbbVie, Inc.",0.5,5
2,"General Electric Co.",0.32,4.9
2,"Eli Lilly & Co.",0.69,4.9
2,"Tesla, Inc.",0.53,4.8
3,"Prologis, Inc.",0.11,3
3,"Merck & Co., Inc.",0.13,1.3
3,"Cisco Systems, Inc.",0.12,1.2
3,"Johnson & Johnson",0.13,1.2
3,"JPMorgan Chase & Co.",0.1,0.8
3,"Alphabet, Inc.",0.16,0.7
3,"Microsoft Corp.",0.15,0.6
3,"Amazon.com, Inc.",0.11,0.5
4,"GSK Plc",0.1,2.2
4,"Prosus NV",0.12,2.2
4,"Münchener Rückversicherungs-Gesellschaft AG",0.1,2.1
4,"Banco Bilbao Vizcaya Argentaria SA",0.11,2.1
4,"Intesa Sanpaolo SpA",0.11,2.1
4,"UniCredit SpA",0.12,2.1
4,"BNP Paribas SA",0.11,2
4,"ING Groep NV",0.1,1.9
5,"Raytheon Technologies Corp.",0.87,18.5
5,"AT&T, Inc.",0.93,18.4
5,"The Boeing Co.",0.58,18.3
5,"GE VERNOVA INC  COM",0.9,17.3
5,"Verizon Communications, Inc.",0.9,16.9
5,"Philip Morris International, Inc.",0.85,16.8
5,"Amgen, Inc.",0.93,16.4
5,"McDonald's Corp.",0.98,16.4
6,"ASE Technology Holding Co., Ltd.",0.1,5.2
6,"KB Financial Group, Inc.",0.12,4.9
6,"PDD Holdings, Inc.",0.13,4.7
6,"Hon Hai Precision Industry Co., Ltd.",0.12,4.6
6,"NetEase, Inc.",0.16,4.3
6,"Delta Electronics, Inc.",0.14,4.2
6,"MediaTek, Inc.",0.15,4.2
6,"Xiaomi Corp.",0.14,4.2
7,"Amazon.com, Inc.",0.18,0.9
7,"Alphabet, Inc.",0.21,0.9
7,"Microsoft Corp.",0.21,0.8
7,"Taiwan Semiconductor Manufacturing Co., Ltd.",0.13,0.8
7,"NVIDIA Corp.",0.16,0.7
7,"Meta Platforms, Inc.",0.13,0.7
7,"Apple, Inc.",0.12,0.6
7,"ASML Holding NV",0.1,0.6
8,"Compagnie de Saint-Gobain SA",0.11,2.7
8,"Infineon Technologies AG",0.12,2.4
8,"Novo Nordisk A/S",0.19,2.4
8,"Schneider Electric SE",0.25,2.4
8,"AIA Group Ltd.",0.13,2.4
8,"L'Oréal SA",0.15,2.3
8,"MercadoLibre, Inc.",0.12,2.3
8,"RELX Plc",0.1,2.2
