"cluster","name","p_cl","lift"
1,"Snowflake, Inc.",0.17,8.2
1,"Datadog, Inc.",0.16,7.9
1,"DoorDash, Inc.",0.14,7.7
1,"Axon Enterprise, Inc.",0.11,7.5
1,"Cloudflare, Inc.",0.17,6.7
1,"AppLovin Corp.",0.22,6.3
1,"Alnylam Pharmaceuticals, Inc.",0.11,5.8
1,"Monolithic Power Systems, Inc.",0.16,5.6
2,"Bid Corp. Ltd.",0.11,11.5
2,"Pepkor Holdings Ltd.",0.1,11.4
2,"Absa Group Ltd.",0.15,11.3
2,"Sanlam Ltd.",0.11,11.3
2,"Shoprite Holdings Ltd.",0.11,11.3
2,"Sasol Ltd.",0.11,10.8
2,"Discovery Ltd.",0.1,10.8
2,"MTN Group Ltd.",0.17,10.4
3,"Zomato Ltd.",0.13,3.5
3,"State Bank of India",0.16,3.4
3,"Maruti Suzuki India Ltd.",0.12,3.4
3,"Shriram Finance Ltd.",0.1,3.3
3,"Larsen & Toubro Ltd.",0.13,3.1
3,"Kotak Mahindra Bank Ltd.",0.12,3.1
3,"Ntpc Ltd.",0.1,3.1
3,"Axis Bank Ltd.",0.14,2.9
4,"Trane Technologies Plc",0.19,4
4,"CRH Plc",0.12,3.7
4,"Apple, Inc.",0.77,3.5
4,"Waste Management, Inc.",0.12,3.5
4,"JPMorgan Chase & Co.",0.52,3.5
4,"CME Group, Inc.",0.14,3.5
4,"AstraZeneca PLC",0.46,3.4
4,"ASML Holding NV",0.64,3.3
5,"Abbott Laboratories",0.93,15
5,"Intel Corp.",0.99,13.8
5,"Philip Morris International, Inc.",0.91,13.6
5,"Raytheon Technologies Corp.",0.92,13.6
5,"International Business Machines Corp.",0.98,13.1
5,"AT&T, Inc.",0.99,12.8
5,"Amgen, Inc.",0.94,12.5
5,"McDonald's Corp.",1,12.5
6,"Diageo Plc",0.11,4.6
6,"London Stock Exchange Group Plc",0.1,3.1
6,"RELX Plc",0.13,2.8
6,"Novo Nordisk A/S",0.14,2.5
6,"Unilever Plc",0.15,2.2
6,"Infineon Technologies AG",0.12,2.2
6,"Schneider Electric SE",0.22,1.9
6,"SAP SE",0.17,1.8
7,"Extra Space Storage, Inc.",0.11,8.5
7,"Iron Mountain, Inc.",0.11,8
7,"Public Storage",0.14,7.7
7,"Realty Income Corp.",0.13,7.6
7,"Xcel Energy, Inc.",0.12,7.2
7,"VICI Properties, Inc.",0.11,7.2
7,"Dominion Energy, Inc.",0.1,7.1
7,"Crown Castle, Inc.",0.1,7.1
8,"AP (Thailand) Public Co. Ltd.",0.11,11.2
8,"Central Plaza Hotel Public Co. Ltd.",0.14,11.2
8,"WHA Corp. Public Co. Ltd.",0.17,11.2
8,"Global Power Synergy PCL",0.13,11.2
8,"Central Retail Corp. Public Co. Ltd.",0.16,11.1
8,"Siam Global House Public Co., Ltd.",0.12,11.1
8,"SCG Packaging Public Co., Ltd.",0.11,11
8,"Thai Oil Public Co. Ltd.",0.18,11
9,"Amazon.com, Inc.",0.11,0.4
9,"NVIDIA Corp.",0.11,0.4
9,"Alphabet, Inc.",0.11,0.4
10,"SGS SA",0.11,7.8
10,"Straumann Holding AG",0.11,7.5
10,"Bajaj Finserv Ltd.",0.12,7.2
10,"Geberit AG",0.11,6.9
10,"Adani Ports & Special Economic Zone Ltd.",0.13,6.9
10,"Compagnie Générale des Établissements Michelin SCA",0.1,6.8
10,"Givaudan SA",0.11,6.7
10,"Nestlé India Ltd.",0.11,6.6
11,"Marriott International, Inc.",0.13,6.6
11,"Honeywell International, Inc.",0.23,6.4
11,"American Express Co.",0.33,6
11,"Automatic Data Processing, Inc.",0.17,6
11,"Lowe's Cos., Inc.",0.24,6
11,"T-Mobile US, Inc.",0.22,5.7
11,"Walmart, Inc.",0.63,5.6
11,"O'Reilly Automotive, Inc.",0.15,5.6
12,"Fidelity Series Small Cap Opportunities Fund",0.13,17
12,"Fidelity Inv. Trust - Emerging Markets Opportunities Fund",0.13,17
12,"Fidelity Series Investment Grade Bond Fund",0.11,17
12,"Fidelity Inv. Trust - Series International Growth Fund",0.13,17
12,"Fidelity Inv. Trust - Series International Small Cap Fund",0.13,17
12,"Fidelity Inv. Trust - Series International Value Fund",0.13,17
12,"Fidelity Series Commodity Strategy Fund",0.13,17
12,"Fidelity Series Emerging Markets Debt Fund",0.11,17
