"cluster","name","p_cl","lift"
1,"EnPro Industries, Inc.",0.16,7
1,"Atmus Filtration Technologies, Inc.",0.13,6.9
1,"Ligand Pharmaceuticals, Inc.",0.11,6.8
1,"ESCO Technologies, Inc.",0.25,6.7
1,"Federal Signal Corp.",0.23,6.7
1,"Primoris Services Corp.",0.26,6.7
1,"Krystal Biotech, Inc.",0.16,6.7
1,"Sanmina Corp.",0.22,6.6
2,"Fidelity Series Small Cap Opportunities Fund",1,29.3
2,"Fidelity Series All Sector Equity Fund",0.58,29.3
2,"Fidelity Inv. Trust - Emerging Markets Opportunities Fund",1,29.3
2,"Fidelity Series Investment Grade Bond Fund",0.87,29.3
2,"Fidelity Inv. Trust - Series International Growth Fund",0.98,29.3
2,"Fidelity Inv. Trust - Series International Small Cap Fund",1,29.3
2,"Fidelity Inv. Trust - Series International Value Fund",0.98,29.3
2,"Fidelity Series Commodity Strategy Fund",1,29.3
3,"Abbott Laboratories",0.91,5.7
3,"Intel Corp.",0.97,5.6
3,"Thermo Fisher Scientific, Inc.",0.9,5.6
3,"NextEra Energy, Inc.",0.95,5.3
3,"International Business Machines Corp.",0.98,5.3
3,NA,0.96,5.2
3,"Philip Morris International, Inc.",0.9,5
3,"McDonald's Corp.",0.99,4.9
4,"Arista Networks, Inc.",0.1,1
4,"Amazon.com, Inc.",0.38,0.9
4,"NVIDIA Corp.",0.38,0.9
4,"Alphabet, Inc.",0.41,0.9
4,"Apple, Inc.",0.33,0.8
4,"Microsoft Corp.",0.36,0.8
4,"Meta Platforms, Inc.",0.32,0.8
4,"Broadcom Inc.",0.3,0.8
5,"ASML Holding NV",0.13,3.6
5,"Shopify, Inc.",0.12,3.1
5,"Cadence Design Systems, Inc.",0.19,2.9
5,"Trane Technologies Plc",0.2,2.9
5,"Vertex Pharmaceuticals, Inc.",0.25,2.9
5,"Palo Alto Networks, Inc.",0.28,2.9
5,"Seagate Technology Holdings Plc",0.16,2.9
5,"Analog Devices, Inc.",0.37,2.8
6,"TransUnion",0.11,5.5
6,"Tempur Sealy International, Inc.",0.16,5.4
6,"Pure Storage, Inc.",0.14,5.3
6,"Royal Gold, Inc.",0.15,5.2
6,"Lincoln Electric Holdings, Inc.",0.16,5.1
6,"Illumina, Inc.",0.13,5.1
6,"Twilio, Inc.",0.15,5
6,"Tenet Healthcare Corp.",0.19,4.8
7,"Equity Residential",0.11,4.7
7,"Realty Income Corp.",0.17,4.3
7,"Extra Space Storage, Inc.",0.12,4.3
7,"Kimco Realty Corp.",0.11,4.2
7,"Essex Property Trust, Inc.",0.11,4.2
7,"Dominion Energy, Inc.",0.11,4.1
7,"Air Products & Chemicals, Inc.",0.11,4
7,"Public Storage",0.15,4
