"quarter","n_investors","n_issuers","n_positions","med_assets","q25_assets","q75_assets","pct_over_62","CEF","ETF","HF","OEF","VAR"
2005-03-31,9142,5639,868956,51,34.25,86,39.2583679719974,688,62,400,6706,1286
2005-06-30,13040,6870,1277002,51,35,89,40.329754601227,961,191,397,10167,1324
2005-09-30,9939,6102,984768,52,35,89,40.6479525103129,706,185,405,7332,1311
2005-12-31,14072,7339,1385966,52,36,88,40.2643547470154,998,225,461,11066,1322
2006-03-31,10099,6306,1047954,53,36,93,41.5387662144767,659,214,471,7452,1303
2006-06-30,13827,7618,1438482,53,36,91,41.2236927750054,954,290,459,10766,1358
2006-09-30,10249,6454,1084018,53,35,93,41.6235730315153,602,298,446,7577,1326
2006-12-31,14684,7981,1541540,53,36,92,41.6984472895669,935,293,526,11496,1434
2007-03-31,10638,6974,1153769,53,35,94,42.1037789058094,604,308,537,7855,1334
2007-06-30,15020,8236,1585761,53,35,93,41.5845539280959,942,403,539,11736,1400
2007-09-30,10614,6999,1145594,52,34,93,40.8705483323912,583,334,519,7854,1324
2007-12-31,15201,8321,1582549,52,34,91,40.2934017498849,855,470,563,11915,1398
2008-03-31,10382,7070,1167176,52,35,96,41.8801772298208,453,340,536,7731,1322
2008-06-30,15231,8705,1597273,52,34,92,40.2337338323157,756,576,537,11976,1386
2008-09-30,10863,7401,1285078,53,34,99,42.6309490932523,440,441,479,8105,1398
2008-12-31,14938,8423,1642105,51,34,93,40.0789931717767,662,610,425,11830,1411
2009-03-31,11019,7109,1332178,53,34,100,42.4357927216626,366,440,419,8394,1400
2009-06-30,15139,8320,1708033,52,34,96,41.5417134553141,570,615,455,12122,1377
2009-09-30,11800,7636,1425073,54,35,101,43.5847457627119,309,481,448,9229,1333
2009-12-31,15521,8938,1731467,53,35,94,41.4470717092971,474,758,445,12522,1322
2010-03-31,12999,8366,1558021,55,36,99,43.8110623894146,295,708,450,10245,1301
2010-06-30,16590,9325,1876358,53,35,95,41.8143459915612,345,979,434,13564,1268
2010-09-30,13834,8484,1719771,56,36,101,45.0484314008963,232,857,446,11041,1258
2010-12-31,17583,9746,2020104,54,35,95,42.0349200932719,336,1115,500,14333,1299
2011-03-31,14805,8894,1805505,55,36,100,43.4920634920635,250,902,494,11903,1256
2011-06-30,17727,9933,2066048,53,35,96,41.8006430868167,325,1293,481,14371,1257
2011-09-30,14747,8902,1816515,55,35,99,43.2969417508646,220,1089,455,11759,1224
2011-12-31,17319,9826,2063354,53,35,97,41.3765228939315,315,1491,480,13745,1288
2012-03-31,14626,9015,1832502,55,36,100,43.6688089703268,226,1479,485,11209,1227
2012-06-30,17317,10249,2085821,53,35,97,41.7277819483744,312,1511,470,13783,1241
2012-09-30,15969,9413,1899790,53,35,95,41.2110964994677,227,1526,474,12523,1219
2012-12-31,18482,10130,2094495,52,34,92,40.2932583053782,316,1807,504,14570,1285
2013-03-31,14265,8942,1794798,56,36,100,44.304241149667,233,1638,507,10695,1192
2013-06-30,16001,9827,2016719,55,36,100,43.7160177488907,306,1777,496,12240,1182
2013-09-30,13926,9131,1815373,56,36,102,44.82263392216,216,1631,493,10440,1146
2013-12-31,18294,10532,2195805,53,35,96,41.2211654094239,295,1892,560,14315,1232
2014-03-31,16327,9922,2060424,54,35,100,42.445029705396,195,1728,560,12724,1120
2014-06-30,19702,11639,2392175,53,35,96,41.6708963556999,288,1984,557,15736,1137
2014-09-30,17772,10616,2248377,54,36,99,42.8989421562008,250,1836,547,13978,1161
2014-12-31,21484,12035,2623920,53,35,96,41.0863898715323,362,2227,577,17041,1277
2015-03-31,19155,11125,2449992,53,35,99,42.2291829809449,293,2246,590,14852,1174
2015-06-30,21931,12462,2762868,52,34,96,41.1837125530072,375,2558,595,17238,1165
