"arm","quarter","n","within","between","delta","perm_mean","perm_sd","z","p_perm"
"baseline","2025-03-31",22827,0.3361,0.2967,0.0394,2e-04,0.002,19.9,0
"baseline","2025-06-30",32639,0.2165,0.1866,0.03,-1e-04,0.0013,22.7,0
"baseline","2025-09-30",23386,0.2924,0.2616,0.0308,0,0.0017,17.7,0
"baseline","2025-12-31",32389,0.2332,0.1902,0.043,0,0.0014,31,0
"baseline","2026-03-31",21478,0.2564,0.2304,0.026,1e-04,0.0014,17.9,0
"weighted","2025-03-31",22827,0.4211,0.3894,0.0317,-1e-04,0.0016,19.6,0
"weighted","2025-06-30",32639,0.3298,0.3119,0.0178,-1e-04,0.0016,10.9,0
"weighted","2025-09-30",23386,0.3971,0.3681,0.029,0,0.0015,18.8,0
"weighted","2025-12-31",32389,0.3626,0.3447,0.0179,-1e-04,0.0019,9.4,0
"weighted","2026-03-31",21478,0.37,0.3404,0.0296,2e-04,0.0015,19,0
