"arm","attribute","eta2_raw","eta2_wins","eps2_rank","n_obs","max_over_p99"
"baseline","beta",0,0.554,0.555,19899,4201.4
"baseline","pe_ratio",0.165,0.192,0.269,19899,2.5
"baseline","pb_ratio",0.335,0.356,0.391,19899,1.9
"baseline","dividend_yield",0.053,0.197,0.207,19899,40.3
"baseline","sales_growth",0.067,0.414,0.429,19899,54.9
"baseline","price_momentum",0,0.464,0.491,19899,5887.2
"baseline","relative_strength",0.495,0.5,0.509,19899,4
"weighted","beta",0.001,0.557,0.548,19899,4201.4
"weighted","pe_ratio",0.131,0.142,0.192,19899,2.5
"weighted","pb_ratio",0.342,0.359,0.366,19899,1.9
"weighted","dividend_yield",0.047,0.184,0.229,19899,40.3
"weighted","sales_growth",0.072,0.456,0.455,19899,54.9
"weighted","price_momentum",0.001,0.491,0.515,19899,5887.2
"weighted","relative_strength",0.449,0.454,0.467,19899,4
