"issuer_id","n_holders","entity_proper_name","iso_country","sector_code","market_cap","pct_of_investors"
"0SWK7W-E",1863,NA,NA,NA,NA,8.7
"004B8C-E",671,NA,NA,NA,68922182069.121,3.1
"0WWX4C-E",668,NA,NA,NA,NA,3.1
"10J556-E",562,NA,NA,NA,31302423300,2.6
"116LTR-E",518,NA,NA,NA,NA,2.4
"0Y0ZXB-E",504,NA,NA,NA,NA,2.3
"103BL7-E",435,NA,NA,NA,16702266194.2747,2
"0WZLXP-E",430,NA,NA,NA,NA,2
"11CJJS-E",423,NA,NA,NA,NA,2
"0YQMB5-E",365,NA,NA,NA,9977343389.2,1.7
"133MZP-E",337,NA,NA,NA,NA,1.6
"0YPSJF-E",300,NA,NA,NA,7078648723.4736,1.4
"11MYHC-E",294,NA,NA,NA,NA,1.4
"119CDX-E",277,NA,NA,NA,NA,1.3
"0X9K7C-E",276,NA,NA,NA,NA,1.3
"0WTXJX-E",265,NA,NA,NA,NA,1.2
"10HYJH-E",262,NA,NA,NA,NA,1.2
"0YYCWH-E",253,NA,NA,NA,NA,1.2
"06L0MD-E",245,NA,NA,NA,NA,1.1
"11LTL2-E",241,NA,NA,NA,6866796726.99504,1.1
"10Z9SW-E",234,NA,NA,NA,22396392060,1.1
"0M6N6D-E",221,NA,NA,NA,1285416900,1
"0YY25N-E",210,NA,NA,NA,17498249300,1
"11R9KX-E",209,NA,NA,NA,NA,1
"0FFN3V-E",208,NA,NA,NA,NA,1
"0VWK2V-E",206,NA,NA,NA,8014957340,1
"06L95X-E",201,NA,NA,NA,NA,0.9
"0N7QJ3-E",201,NA,NA,NA,NA,0.9
"0ZJTCR-E",195,NA,NA,NA,16413600000,0.9
"0JC6T1-E",175,NA,NA,NA,NA,0.8
"12RM26-E",173,NA,NA,NA,4366912500,0.8
"0WY28V-E",166,NA,NA,NA,3383965150,0.8
"12VJSX-E",164,NA,NA,NA,NA,0.8
"0TQQ0J-E",156,NA,NA,NA,NA,0.7
"129KG2-E",155,NA,NA,NA,2552895900,0.7
"10JCC4-E",153,NA,NA,NA,5296701539.712,0.7
"0GNY4C-E",148,NA,NA,NA,75561762000,0.7
"129M2N-E",147,NA,NA,NA,NA,0.7
"12SG03-E",144,NA,NA,NA,NA,0.7
"11FZBZ-E",132,NA,NA,NA,NA,0.6
"05W85K-E",131,NA,NA,NA,NA,0.6
"0K8D3X-E",130,NA,NA,NA,NA,0.6
"0VSYC0-E",129,NA,NA,NA,NA,0.6
"0P0XDX-E",124,NA,NA,NA,NA,0.6
"11MZ60-E",120,NA,NA,NA,NA,0.6
"129GG4-E",116,NA,NA,NA,2003819895,0.5
"0728Q7-E",115,NA,NA,NA,NA,0.5
"0LDD6N-E",115,NA,NA,NA,NA,0.5
"05MB4H-E",113,NA,NA,NA,NA,0.5
"0XBRFG-E",111,NA,NA,NA,NA,0.5
"126TMQ-E",111,NA,NA,NA,NA,0.5
"13HKQP-E",109,NA,NA,NA,NA,0.5
"0779SB-E",108,NA,NA,NA,NA,0.5
"0PK0ZW-E",106,NA,NA,NA,NA,0.5
"05WKTK-E",104,NA,NA,NA,NA,0.5
"11ZKFD-E",104,NA,NA,NA,NA,0.5
"109MRS-E",103,NA,NA,NA,NA,0.5
"0PTN1M-E",100,NA,NA,NA,2882873932.03328,0.5
"0WC5L0-E",100,NA,NA,NA,144865260,0.5
"0Y5NM3-E",100,NA,NA,NA,NA,0.5
"10JDC7-E",100,NA,NA,NA,NA,0.5
"10CT29-E",96,NA,NA,NA,NA,0.4
"10R40H-E",96,NA,NA,NA,1679347370,0.4
"04D7Z4-E",95,NA,NA,NA,NA,0.4
"12ZZKT-E",95,NA,NA,NA,NA,0.4
"108JJ3-E",94,NA,NA,NA,426183210,0.4
"10NZPL-E",92,NA,NA,NA,NA,0.4
"10D3H6-E",91,NA,NA,NA,NA,0.4
"0C7VFP-E",89,NA,NA,NA,NA,0.4
"075RSH-E",86,NA,NA,NA,NA,0.4
"0TWMDM-E",86,NA,NA,NA,NA,0.4
"0YWDQZ-E",85,NA,NA,NA,NA,0.4
"10ZY22-E",85,NA,NA,NA,NA,0.4
"04BF1T-E",84,NA,NA,NA,NA,0.4
"0Z13WQ-E",84,NA,NA,NA,NA,0.4
"11H87L-E",84,NA,NA,NA,NA,0.4
"0FKV40-E",82,NA,NA,NA,NA,0.4
"0ZJ2JQ-E",82,NA,NA,NA,NA,0.4
"0GNC1Z-E",79,NA,NA,NA,NA,0.4
"11N4VL-E",78,NA,NA,NA,NA,0.4
"0F9YPP-E",77,NA,NA,NA,NA,0.4
"1044MN-E",76,NA,NA,NA,NA,0.4
"0CTJ3V-E",75,NA,NA,NA,NA,0.3
"0NJXY4-E",75,NA,NA,NA,NA,0.3
"11SPZ2-E",74,NA,NA,NA,21434311769.6,0.3
"133CFD-E",74,NA,NA,NA,NA,0.3
"0VJRDY-E",73,NA,NA,NA,3785747150,0.3
"0ZZDJR-E",68,NA,NA,NA,NA,0.3
"10JBL8-E",68,NA,NA,NA,2790870960.2456,0.3
"0X1X7B-E",66,NA,NA,NA,NA,0.3
"0XGH9C-E",66,NA,NA,NA,399555262.08,0.3
"0XV4DQ-E",66,NA,NA,NA,NA,0.3
"0FLQPD-E",65,NA,NA,NA,NA,0.3
"117ZSW-E",65,NA,NA,NA,5788011477.31712,0.3
"0JVNK2-E",64,NA,NA,NA,NA,0.3
"098X74-E",63,NA,NA,NA,NA,0.3
"0C60Y9-E",63,NA,NA,NA,NA,0.3
"0YY8DS-E",63,NA,NA,NA,NA,0.3
"12QNL2-E",63,NA,NA,NA,NA,0.3
"1085B1-E",61,NA,NA,NA,NA,0.3
"11WK30-E",61,NA,NA,NA,NA,0.3
"0YXQY0-E",60,NA,NA,NA,5865393483.18712,0.3
"00FKQ8-E",58,NA,NA,NA,NA,0.3
"136NXW-E",58,NA,NA,NA,NA,0.3
"0Z2WT3-E",57,NA,NA,NA,NA,0.3
"10GGB1-E",57,NA,NA,NA,NA,0.3
"04G9T5-E",55,NA,NA,NA,NA,0.3
"0CNXQY-E",53,NA,NA,NA,NA,0.2
"0GPKSD-E",52,NA,NA,NA,NA,0.2
"12QYQQ-E",52,NA,NA,NA,NA,0.2
"0YM2XX-E",51,NA,NA,NA,NA,0.2
"12RM00-E",51,NA,NA,NA,NA,0.2
"0G79GF-E",50,NA,NA,NA,NA,0.2
"0QVM3M-E",50,NA,NA,NA,NA,0.2
"0XFGZX-E",50,NA,NA,NA,NA,0.2
"0YKM1G-E",50,NA,NA,NA,NA,0.2
"10HFLZ-E",50,NA,NA,NA,NA,0.2
"0B2QK6-E",49,NA,NA,NA,NA,0.2
"0WH4VC-E",49,NA,NA,NA,NA,0.2
"0Z14VT-E",49,NA,NA,NA,NA,0.2
"12YRNP-E",49,NA,NA,NA,4021380600,0.2
"136C61-E",48,NA,NA,NA,NA,0.2
"0X5HQP-E",47,NA,NA,NA,NA,0.2
"11FZ4R-E",47,NA,NA,NA,NA,0.2
"0SBMYJ-E",46,NA,NA,NA,NA,0.2
"0HR1DW-E",45,NA,NA,NA,NA,0.2
"0W69BW-E",45,NA,NA,NA,12392924700,0.2
"0Z0VQF-E",45,NA,NA,NA,NA,0.2
"10MT2D-E",45,NA,NA,NA,NA,0.2
"00B9X9-E",44,NA,NA,NA,NA,0.2
"0FPCS3-E",44,NA,NA,NA,NA,0.2
"0HX2JV-E",44,NA,NA,NA,NA,0.2
"0KZ5SX-E",44,NA,NA,NA,NA,0.2
"0WWKM6-E",44,NA,NA,NA,NA,0.2
"0XWJ26-E",44,NA,NA,NA,NA,0.2
"04F92F-E",43,NA,NA,NA,NA,0.2
"0XBFRG-E",43,NA,NA,NA,NA,0.2
"0ZCZ84-E",43,NA,NA,NA,NA,0.2
"10BBF1-E",43,NA,NA,NA,8527913.13658,0.2
"10NWH2-E",42,NA,NA,NA,NA,0.2
"11HPSY-E",42,NA,NA,NA,18499728705.8772,0.2
"12TPND-E",42,NA,NA,NA,NA,0.2
"08GXQS-E",41,NA,NA,NA,NA,0.2
"0MDZ85-E",41,NA,NA,NA,NA,0.2
"0ZX78Q-E",41,NA,NA,NA,163094150,0.2
"11PQ7F-E",41,NA,NA,NA,NA,0.2
"1269YM-E",41,NA,NA,NA,NA,0.2
"12RLG0-E",41,NA,NA,NA,NA,0.2
"04FXRB-E",40,NA,NA,NA,NA,0.2
"0CB3DP-E",40,NA,NA,NA,NA,0.2
"0XYH0F-E",40,NA,NA,NA,NA,0.2
"133TLR-E",40,NA,NA,NA,436912295.98095,0.2
"04GVPQ-E",39,NA,NA,NA,NA,0.2
"0942D5-E",39,NA,NA,NA,NA,0.2
"13902K-E",39,NA,NA,NA,3308231733.35424,0.2
"0KS8SC-E",38,NA,NA,NA,NA,0.2
"0TTKJ2-E",38,NA,NA,NA,NA,0.2
"112TRL-E",38,NA,NA,NA,77621740.1442,0.2
"11DYJF-E",38,NA,NA,NA,NA,0.2
"09MDBP-E",37,NA,NA,NA,NA,0.2
"0SG9GF-E",37,NA,NA,NA,NA,0.2
"0MHX2F-E",36,NA,NA,NA,NA,0.2
"0XKKKP-E",36,NA,NA,NA,NA,0.2
"0YTRLG-E",36,NA,NA,NA,NA,0.2
"074SZD-E",35,NA,NA,NA,NA,0.2
"0D8NDM-E",35,NA,NA,NA,NA,0.2
"0XK6C1-E",35,NA,NA,NA,NA,0.2
"0Z3LF7-E",35,NA,NA,NA,NA,0.2
