"cluster","name","p_cl","lift"
1,"Abbott Laboratories",0.84,13.6
1,"International Business Machines Corp.",0.95,12.7
1,"Philip Morris International, Inc.",0.83,12.5
1,"Raytheon Technologies Corp.",0.85,12.5
1,"Intel Corp.",0.88,12.3
1,"McDonald's Corp.",0.94,11.8
1,"AT&T, Inc.",0.91,11.8
1,"Morgan Stanley",0.91,11.5
2,"Snowflake, Inc.",0.15,7.5
2,"Datadog, Inc.",0.14,6.9
2,"DoorDash, Inc.",0.11,6.4
2,"Cloudflare, Inc.",0.16,6
2,"Monolithic Power Systems, Inc.",0.16,5.4
2,"AppLovin Corp.",0.19,5.4
2,"Coherent Corp.",0.13,5.3
2,"Teradyne, Inc.",0.11,4.7
3,"CME Group, Inc.",0.14,3.5
3,"Colgate-Palmolive Co.",0.11,3.4
3,"Waste Management, Inc.",0.11,3.3
3,"Trane Technologies Plc",0.15,3.2
3,"KEYENCE Corp.",0.1,3.1
3,"McKesson Corp.",0.14,3
3,"Schneider Electric SE",0.35,3
3,"Medtronic Plc",0.14,3
4,"BIG Shopping Centers Ltd.",0.11,7.8
4,"Mega Or Holdings Ltd.",0.11,7.7
4,"Navitas Petroleum LP",0.12,7.7
4,"Azrieli Group Ltd.",0.11,7.5
4,"OPC Energy Ltd.",0.11,7.5
4,"Harel Insurance Investments & Financial Services Ltd.",0.1,7.3
4,"Bezeq The Israeli Telecommunication Corp. Ltd.",0.12,7.3
4,"Next Vision Stabilized Systems Ltd.",0.13,7.1
5,"United Spirits Ltd.",0.13,15.7
5,"Tata Power Co., Ltd.",0.15,15.6
5,"Trent Ltd.",0.24,15.6
5,"SRF Ltd.",0.13,15.6
5,"Bajaj Finserv Ltd.",0.25,15.6
5,"L&T Finance Holdings Ltd.",0.1,15.6
5,"Nestlé India Ltd.",0.26,15.5
5,"Grasim Industries Ltd.",0.23,15.4
6,"Deutsche Bank AG",0.23,9.4
6,"CaixaBank SA",0.2,9.2
6,"Intesa Sanpaolo SpA",0.48,9.1
6,"UniCredit SpA",0.53,9
6,"Danone SA",0.31,8.9
6,"BASF SE",0.19,8.7
6,"Société Générale SA",0.29,8.7
6,"KBC Group NV",0.16,8.7
8,"Commonwealth Bank of Australia",0.35,14.4
8,"Royal Bank of Canada",0.52,13.6
8,"HSBC Holdings Plc",0.68,9.9
8,"Toyota Motor Corp.",0.35,9
8,"The Goldman Sachs Group, Inc.",0.66,7.8
8,"Caterpillar, Inc.",0.66,7.6
8,"McDonald's Corp.",0.6,7.5
8,"The Coca-Cola Co.",0.72,7.3
9,"PICC Property & Casualty Co., Ltd.",0.12,15.5
9,"China Life Insurance Co. Ltd.",0.21,15.3
9,"China Merchants Bank Co., Ltd.",0.38,15
9,"Al Rajhi Bank",0.22,14.7
9,"Saudi National Bank",0.19,14.6
9,"CTBC Financial Holding Co., Ltd.",0.23,14.5
9,"Bank of China Ltd.",0.26,14.5
9,"Fubon Financial Holding Co., Ltd.",0.14,14.4
10,"Carabao Group Public Co. Ltd.",0.22,53.7
10,"Land & Houses Public Co., Ltd.",0.27,52.7
10,"Berli Jucker Public Co. Ltd.",0.2,52.4
10,"Asset World Corp. Pcl",0.39,52.3
10,"MBK Public Co. Ltd.",0.15,52
10,"CH. Karnchang Public Co. Ltd.",0.36,51.5
10,"Praram 9 Hospital Public Co., Ltd.",0.28,51.4
10,"Electricity Generating Public Co., Ltd.",0.26,51.3
11,"The Travelers Cos., Inc.",0.13,5.9
11,"General Dynamics Corp.",0.11,5.8
11,"Automatic Data Processing, Inc.",0.16,5.7
11,"Altria Group, Inc.",0.13,5.5
11,"Marriott International, Inc.",0.11,5.5
11,"Honeywell International, Inc.",0.2,5.5
11,"Mondelez International, Inc.",0.12,5.5
11,"Lockheed Martin Corp.",0.15,5.4
12,"AstraZeneca PLC",0.1,0.8
12,"Amazon.com, Inc.",0.11,0.5
12,"Alphabet, Inc.",0.13,0.5
12,"Microsoft Corp.",0.13,0.4
12,"NVIDIA Corp.",0.12,0.4
