"attribute","kind","strength","coverage","family"
"med_cap","continuous",0.706,0.998,"size"
"mgr_entity_proper_name","categorical",0.575,0.884,"artifact"
"fs_ultimate_parent_entity_id","categorical",0.546,0.798,"artifact"
"invt_obj_specialization_code","categorical",0.48,0.845,"sector"
"sales_growth","continuous",0.455,0.906,"strategy"
"pct_top_sec","continuous",0.453,1,"sector"
"relative_strength","continuous",0.44,0.906,"strategy"
"pb_ratio","continuous",0.366,0.906,"strategy"
"dividend_yield","continuous",0.315,0.906,"strategy"
"pe_ratio","continuous",0.312,0.906,"strategy"
"invt_obj_asset_type_code","categorical",0.279,0.845,"vehicle"
"style_any","categorical",0.277,0.972,"strategy"
"aum_any","continuous",0.268,0.71,"size"
"investor_type","categorical",0.218,1,"vehicle"
"fund_type_desc","categorical",0.154,0.916,"vehicle"
"invt_obj_region_code","categorical",0.154,0.747,"geography"
"country_desc","categorical",0.153,0.797,"geography"
"turnover_any","categorical",0.139,0.978,"strategy"
"n_assets_full","continuous",0.127,1,"strategy"
"pct_us","continuous",0.124,1,"geography"
"beta","continuous",0.037,0.906,"strategy"
"price_momentum","continuous",0.029,0.906,"strategy"
