"investor_id","investor_type","first_idx","last_idx","obs_hi","obs_lo","n_obs","elig_hi","elig_lo","cov_hi","cov_lo","span","cycle"
"000C65-E","HF",1,84,37,35,72,42,42,0.880952380952381,0.833333333333333,84,"quarterly"
"000C8R-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"000C90-E","HF",1,15,7,8,15,7,8,1,1,15,"quarterly"
"000CN3-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"000CND-E","HF",6,85,32,27,59,41,41,0.780487804878049,0.658536585365854,80,"intermittent"
"000FFT-E","HF",1,67,27,28,55,33,34,0.818181818181818,0.823529411764706,67,"quarterly"
"000JCY-E","HF",1,40,18,20,38,20,20,0.9,1,40,"quarterly"
"000JGK-E","HF",1,85,41,43,84,42,43,0.976190476190476,1,85,"quarterly"
"000LVP-E","HF",1,28,14,14,28,14,14,1,1,28,"quarterly"
"000NXG-E","HF",20,43,12,12,24,14,15,0.857142857142857,0.8,24,"quarterly"
"000PF7-E","HF",1,31,15,15,30,15,16,1,0.9375,31,"quarterly"
"000VN1-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"000VR8-E","HF",1,6,2,2,4,3,3,0.666666666666667,0.666666666666667,6,"too short to classify"
"000ZFK-E","HF",1,42,21,21,42,21,21,1,1,42,"quarterly"
"0010FM-E","HF",16,73,28,28,56,7,8,4,3.5,58,"quarterly"
"0010SD-E","HF",1,32,16,16,32,16,16,1,1,32,"quarterly"
"00116S-E","HF",1,15,4,6,10,7,8,0.571428571428571,0.75,15,"intermittent"
"0011J1-E","HF",1,9,4,5,9,4,5,1,1,9,"quarterly"
"0011XG-E","HF",1,11,5,6,11,5,6,1,1,11,"quarterly"
"0011Y4-E","HF",1,85,42,42,84,42,43,1,0.976744186046512,85,"quarterly"
"0012MH-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"0012ZV-E","HF",1,85,42,42,84,42,43,1,0.976744186046512,85,"quarterly"
"00132N-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"00134N-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"001358-E","HF",27,30,2,2,4,-6,-7,2,2,4,"too short to classify"
"0013ZM-E","HF",4,85,39,39,78,29,29,1.3448275862069,1.3448275862069,82,"quarterly"
"00140T-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"0016FP-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"0016Z2-E","HF",3,84,41,40,81,17,16,2.41176470588235,2.5,82,"quarterly"
"00176H-E","HF",1,85,42,43,85,42,43,1,1,85,"quarterly"
"0017ZB-E","HF",1,3,0,2,2,1,2,0,1,3,"too short to classify"
"0018BF-E","HF",1,28,14,14,28,14,14,1,1,28,"quarterly"
"0018XT-E","HF",1,85,40,42,82,42,43,0.952380952380952,0.976744186046512,85,"quarterly"
